name,dom,V,E,MS_bef_MoveBlockG,MS_aft_MoveBlockG,MS_bef_MoveBlockF,MS_aft_MoveBlockF,SPAC_bef_MoveBlockG,SPAC_aft_MoveBlockG,SPAC_bef_MoveBlockF,SPAC_aft_MoveBlockF,SHEEP_bef_MoveBlockG,SHEEP_aft_MoveBlockG,SHEEP_bef_MoveBlockF,SHEEP_aft_MoveBlockF,NE_bef_MoveBlockG,NE_aft_MoveBlockG,NE_bef_MoveBlockF,NE_aft_MoveBlockF
mammalia-voles-bhp-trapping,asn,1686,4623,2.20214,1.41044,2.20214,1.41222,1.59244,1.43623,1.59244,1.42534,1.87426,1.58897,1.87426,1.51779,1.45018,1.41993,1.45018,1.41993
mammalia-voles-kcs-trapping,asn,1218,3592,2.42710,1.53941,2.42710,1.50903,1.77673,1.56936,1.77673,1.55345,2.0353,1.73645,2.0353,1.59852,1.54926,1.52217,1.54926,1.50727
mammalia-voles-plj-trapping,asn,1263,3380,2.22122,1.44497,2.22122,1.42993,1.66587,1.45289,1.66587,1.42835,1.83135,1.61995,1.83135,1.50515,1.46081,1.42573,1.46081,1.40855
mammalia-voles-rob-trapping,asn,1480,3935,2.17838,1.42230,2.17838,1.41486,1.59203,1.44247,1.59203,1.43972,1.81824,1.58176,1.81824,1.48041,1.45473,1.42365,1.45473,1.41823
bio-CE-CX,bio,15229,245952,5.74187,3.15543,5.74187,3.01340,5.46167,4.28790,5.46167,4.30049,8.27612,6.10618,8.27612,6.4806,3.23081,3.22797,3.23081,3.22753
bio-CE-GN,bio,2220,53683,12.64280,5.30405,12.64280,5.01622,7.84520,6.52295,7.84520,6.51100,11.9608,9.05,11.9608,9.47973,4.94189,4.90935,4.94189,4.88243
bio-CE-HT,bio,2617,2985,1.18112,1.17654,1.18112,1.17425,1.17654,1.17386,1.17654,1.17348,1.25755,1.21322,1.25755,1.18456,1.19297,1.18456,1.19297,1.17233
bio-CE-LC,bio,1387,1648,1.17880,1.13987,1.17880,1.09373,1.14420,1.12978,1.14420,1.12761,1.19611,1.16871,1.19611,1.15068,1.18745,1.16727,1.18745,1.09056
bio-CE-PG,bio,1871,47754,10.78190,3.97809,10.78190,4.31587,5.47448,4.53412,5.47448,4.52104,8.59433,6.88562,8.59433,6.97862,3.99466,3.85890,3.99466,3.81924
bio-DM-CX,bio,4040,76717,7.97649,3.91163,7.97649,3.74406,6.65945,5.22119,6.65945,5.20932,9.38886,7.01584,9.38886,7.34604,3.90891,3.89257,3.90891,3.89096
bio-DM-HT,bio,2989,4660,1.27936,1.24590,1.27936,1.24423,1.25493,1.24757,1.25493,1.24624,1.41151,1.32285,1.41151,1.27267,1.30244,1.28973,1.30244,1.27823
bio-dmela,bio,7393,25569,2.82727,2.22805,2.82727,2.21331,2.72826,2.38739,2.72826,2.38009,2.8972,2.50156,2.8972,2.51292,2.21466,2.21100,2.21466,2.20574
bio-DR-CX,bio,3289,84940,12.50080,5.52934,12.50080,5.31742,8.29944,6.80444,8.29944,6.79763,11.5214,8.76741,11.5214,9.30313,5.15871,5.12648,5.15871,5.10987
bio-grid-fission-yeast,bio,2026,12637,4.42695,2.45262,4.42695,2.35735,3.28941,2.74685,3.28941,2.74182,3.9077,3.03356,3.9077,3.15153,2.48124,2.43682,2.48124,2.42949
